url,type,priority,title_verdict,regression_flags,OLD_title,NEW_title,RECOMMENDED_title,OLD_h1,NEW_h1,h1_verdict,RECOMMENDED_h1,RECOMMENDED_meta_description,DECISION (Jake: keep new / use recommended / custom)
/,Page,P1,seo_regression,lost_geo_keyword;lost_service_keyword;lost_rank_modifier,#1 Performance Marketing Agency In Toronto [2026] | Consultus Digital,Consultus Digital | Marketing Engineered for Scaling Brands,Performance Marketing Agency Toronto | Consultus Digital,| Your Strategic Growth Partner,"Marketing, engineered for scaling brands.",,"Performance marketing, engineered for scaling brands.","Consultus Digital is a Toronto performance marketing agency. Paid media, SEO, creative, web and CRM built as one engine, with results we can defend.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/conversion-rate-optimization-for-ecommerce-businesses-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Boost E-commerce Sales With CRO Services | Consultus Digital,Boosting Conversions: Conversion Rate Optimization (CRO) for Ecommerce brands | Consultus Digital,Ecommerce CRO Services Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / CRO,Conversion Rate Optimization for Ecommerce Storefronts.,,Conversion rate optimization for ecommerce storefronts.,Conversion rate optimization (CRO) for ecommerce brands in Toronto. A dedicated ecommerce practice that turns more traffic into sales.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/conversion-rate-optimization-for-insurance-brokers-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Boosting Conversion Rate Optimization | Consultus Digital,Boosting Conversions: Conversion Rate Optimization (CRO) for Insurance brokers | Consultus Digital,Insurance Broker CRO Services Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / INSURANCE / BOOSTING CONVERSIONS,Boosting Conversions: Conversion Rate Optimization (CRO) for Insurance Brokers .,,Conversion rate optimization for insurance brokers.,Conversion rate optimization (CRO) for insurance brokers in Toronto. A dedicated insurance practice that turns quote traffic into bound policies.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/conversion-rate-optimization-for-law-firms-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Client Acquisition with CRO Services for Law Firms | Consultus,Boosting Conversions: Conversion Rate Optimization (CRO) for Law firms | Consultus Digital,Law Firm CRO Services Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / LAW FIRM / CRO,Boosting Conversions: Conversion Rate Optimization (CRO) for Law Firms .,,Conversion rate optimization for law firms.,Conversion rate optimization (CRO) for law firms in Toronto. A dedicated law firm practice that turns case-seeker traffic into signed files.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/conversion-rate-optimization-for-self-storage-companies-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Maximize Conversions for Self-Storage Sites | Consultus Digital,Boosting Conversions: Conversion Rate Optimization (CRO) for Self-storage operators | Consultus Digital,Self-Storage CRO Services Toronto | Consultus Digital,| SELF-STORAGE MARKETING / SPECIALTY DIVISION / SELF-STORAGE / CRO,Conversion Rate Optimization for Self-Storage Operators.,,Conversion rate optimization for self-storage operators.,Conversion rate optimization (CRO) for self-storage operators in Toronto. A dedicated self-storage practice that lifts move-in conversions.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/ecommerce-businesses-website-development-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Expert eCommerce Website Development | Consultus Digital,Elevating Online Presence: Website Development for Ecommerce brands | Consultus Digital,Ecommerce Website Development Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / WEBSITE DEVELOPMENT,Website Development for Ecommerce Businesses.,,Website development for ecommerce businesses.,"Website development for ecommerce brands in Toronto. A dedicated ecommerce practice building fast, high-converting online stores.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/ecommerce-marketing-toronto/,Page,P1,seo_regression,lost_geo_keyword,,Ecommerce Marketing | Consultus Digital,Ecommerce Marketing Agency Toronto | Consultus Digital,,Ecommerce marketing built on creative cadence and real attribution.,,"Ecommerce marketing in Toronto, built on creative cadence and real attribution.","Ecommerce marketing for Toronto brands: SEO, paid media, content, web development, and CRO built on creative cadence and real attribution.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/law-firm-marketing-toronto/,Page,P1,seo_regression,lost_geo_keyword,Law Firm Marketing Service Toronto | Consultus Digital,Law Firm Marketing | Consultus Digital,Law Firm Marketing Toronto | Consultus Digital,| Law Firm Marketing Agency,Law firm marketing that builds authority and attracts clients.,,Law firm marketing that builds authority and attracts clients.,"Law firm marketing in Toronto that builds authority and attracts clients. SEO, paid media, content, web, and CRO for law firms.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/legal-practice-search-engine-optimization-for-law-firms-toronto/,Page,P1,seo_regression,lost_geo_keyword,Visibility for Law Firms with Customized SEO Services | Consultus,Dominate Search Engines: SEO for Law firms | Consultus Digital,SEO for Law Firms Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / LAW FIRM / SEO,Elevate Your Legal Practice: Search Engine Optimization (SEO) for Law Firms .,,SEO for law firms.,SEO for law firms in Toronto. A dedicated law firm practice that ranks your practice for high-intent legal searches.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/maximizing-law-firm-growth-with-paid-media-advertising-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Maximize Your Law Firm's Growth with Paid Advertising | Consultus,Maximizing Reach: Paid Media Advertising for Law firms | Consultus Digital,Paid Media for Law Firms Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / LAW FIRM / PAID MEDIA,Maximizing Law Firm Growth with Paid Media Advertising.,,Maximizing law firm growth with paid media advertising.,Paid media advertising for law firms in Toronto. A dedicated law firm practice that turns ad spend into signed-file pipeline.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/paid-media-advertising-for-ecommerce-businesses-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Maximize Sales With Paid Media For Ecommerce | Consultus Digital,Maximizing Reach: Paid Media Advertising for Ecommerce brands | Consultus Digital,Ecommerce Paid Media Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / PAID MEDIA,Paid Media Advertising for Ecommerce Brands.,,Paid media advertising for ecommerce brands.,Paid media advertising for ecommerce brands in Toronto. A dedicated ecommerce practice that scales profitable ROAS across channels.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/paid-media-advertising-for-insurance-brokers-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Maximize Reach With Paid Media | Consultus Digital,Maximizing Reach: Paid Media Advertising for Insurance brokers | Consultus Digital,Insurance Broker Paid Media Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / INSURANCE / MAXIMIZING REACH,Maximizing Reach: Effective Paid Media Advertising for Insurance Brokers .,,Paid media advertising for insurance brokers.,Paid media advertising for insurance brokers in Toronto. A dedicated insurance practice that drives quote-ready leads at target cost.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/paid-media-advertising-for-self-storage-companies-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Self-Storage Business Growth with Paid Media Advertising | Consultus,Maximizing Reach: Paid Media Advertising for Self-storage operators | Consultus Digital,Self-Storage Paid Media Toronto | Consultus Digital,| SELF-STORAGE MARKETING / SPECIALTY DIVISION / SELF-STORAGE / PAID MEDIA,Driving Storage Demand with Paid Media Advertising.,,Driving storage demand with paid media advertising.,Paid media advertising for self-storage operators in Toronto. A dedicated self-storage practice that drives demand and fills units.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/search-engine-optimization-for-ecommerce-businesses-toronto/,Page,P1,seo_regression,lost_geo_keyword,Maximize Ecommerce Visibility With SEO Services | Consultus Digital,Dominate Search Engines: SEO for Ecommerce brands | Consultus Digital,Ecommerce SEO Services Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / SEO,Search Engine Optimization for Ecommerce Businesses.,,Search engine optimization for ecommerce businesses.,SEO for ecommerce brands in Toronto. A dedicated ecommerce practice that ranks product and category pages for buyer-intent searches.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/self-storage-marketing-toronto/,Page,P1,seo_regression,lost_geo_keyword,,Self-Storage Marketing | Consultus Digital,Self-Storage Marketing Toronto | Consultus Digital,,"Self-storage marketing built for occupancy , not vanity clicks.",,"Self-storage marketing built for occupancy, not vanity clicks.","Self-storage marketing in Toronto built for occupancy, not vanity clicks. SEO, paid media, content, web, and CRO for storage operators.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/seo-services-for-self-storage-businesses-toronto/,Page,P1,seo_regression,lost_geo_keyword,Strategic SEO for Self-Storage Facilities | Consultus Digital,Dominate Search Engines: SEO for Self-storage operators | Consultus Digital,Self-Storage SEO Services Toronto | Consultus Digital,| SELF-STORAGE MARKETING / SPECIALTY DIVISION / SELF-STORAGE / SEO,Boosting Visibility: SEO for Self-Storage Businesses.,,SEO for self-storage businesses.,SEO for self-storage operators in Toronto. A dedicated self-storage practice that ranks facilities for local move-in searches.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/seo-strategies-for-insurance-brokers-toronto/,Page,P1,seo_regression,lost_geo_keyword,Dominate Search Engines For Insurance Brokerages | Consultus Digital,Dominate Search Engines: SEO for Insurance brokers | Consultus Digital,Insurance Broker SEO Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / INSURANCE / DOMINATE SEARCH ENGINES,Dominate Search Engines: SEO Strategies for Insurance Brokers .,,SEO strategies for insurance brokers.,SEO for insurance brokers in Toronto. A dedicated insurance practice that ranks your brokerage for high-intent quote searches.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/seo-toronto/,Page,P1,minor_regression,lost_rank_modifier,#1 Performance SEO Agency Toronto | Consultus Digital,SEO Agency in Toronto | SEO + GEO | Consultus Digital,SEO Agency in Toronto | SEO + AI Search | Consultus Digital,Toronto's #1 SEO &amp; AI Search Agency,Rank on Google. Get cited by ChatGPT . Grow revenue.,,"Toronto SEO & AI Search: rank on Google, get cited by ChatGPT, grow revenue.","Toronto SEO and Generative Engine Optimization agency. Rank higher on Google, get cited by ChatGPT and AI Overviews, and turn organic traffic into revenue.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/website-development-for-self-storage-businesses-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Professional Self-Storage Web Development | Consultus Digital,Elevating Online Presence: Website Development for Self-storage operators | Consultus Digital,Self-Storage Website Development Toronto | Consultus Digital,| SELF-STORAGE MARKETING / SPECIALTY DIVISION / SELF-STORAGE / WEBSITE DEVELOPMENT,Website Development for Self-Storage Operators.,,Website development for self-storage operators.,"Website development for self-storage operators in Toronto. A dedicated self-storage practice building fast, high-converting facility sites.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/website-development-strategies-for-insurance-brokers-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Elevate Online Presence For Insurance Brokers | Consultus Digital,Elevating Online Presence: Website Development for Insurance brokers | Consultus Digital,Insurance Broker Website Development Toronto | Consultus Digital,| INSURANCE MARKETING / SPECIALTY DIVISION / INSURANCE / WEBSITE DEVELOPMENT STRATEGIES,Elevating Online Presence: Website Development Strategies for Insurance Brokers .,,Website development for insurance brokers.,"Website development for insurance brokers in Toronto. A dedicated insurance practice building fast, quote-ready brokerage websites.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/website-development-strategies-for-law-firms-toronto/,Page,P1,seo_regression,lost_geo_keyword;too_long,Expert Website Development for Law Firms | Consultus Digital,Elevating Online Presence: Website Development for Law firms | Consultus Digital,Law Firm Website Development Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / LAW FIRM / WEBSITE DEVELOPMENT,Boosting Your Legal Practice: Website Development Strategies for Law Firms .,,Website development for law firms.,"Website development for law firms in Toronto. A dedicated law firm practice building fast, high-converting legal websites.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/case-studies/,Case study,P2,minor_regression,lost_service_keyword,Case Study | Consultus Digital,"Real results, real growth | Consultus Digital","Case Studies | Real Results, Real Growth | Consultus Digital",REAL RESULTS. REAL GROWTH,Real results. Real growth.,,Real results. Real growth.,"Case studies across ecommerce, healthcare, self-storage, hospitality and B2B. 8X ROAS, 757% lift, 40% productivity gains, and more.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/case-studies/bookseats/,Case study,P2,new_better,too_long,BookSeats Success Story | Consultus Digital,BookSeats case study: 1.4x to 8.10x ROAS with UGC | Consultus Digital,BookSeats Case Study: 1.4x to 8.10x ROAS with UGC | Consultus Digital,How We Achieved 8x ROAS for BookSeats With UGC,From 1.4x to 8.10x ROAS .,,BookSeats: from 1.4x to 8.10x ROAS.,How Consultus Digital took BookSeats from 1.4x to 8.10x ROAS with a UGC-first creative engine and league-specific funnels.,Kept new-design title (no regression)
/case-studies/bow-city-storage/,Case study,P2,new_better,too_long,Bow City Storage Success Story | Consultus Digital,"Bow City Storage case study: 2,900% increase in return on ad spend | Consultus Digital","Bow City Storage Case Study: 2,900% ROAS Increase | Consultus Digital",Bow City storage Broke Monthly Sales Records While Boasting An Incredible 2900% ROAS Increase,Bow City Storage went from flat to flying.,,"Bow City Storage: a 2,900% ROAS increase.","Multi-facility self-storage paid media rebuild lifted return on ad spend by 2,900% and broke monthly sales records.",Kept new-design title (no regression)
/case-studies/e11ement/,Case study,P2,new_better,,,e11ement case study: a 12-month ecosystem rebuild | Consultus Digital,e11ement Case Study: a 12-Month Ecosystem Rebuild | Consultus Digital,,Twelve months. One brand. Every channel.,,"e11ement: twelve months, one brand, every channel.","How Consultus Digital rebuilt e11ement's full digital ecosystem in 12 months: Shopify, 100+ ad creatives, SEO, and Amazon.",Kept new-design title (no regression)
/case-studies/ecycle/,Case study,P2,new_better,,,eCycle case study: 40% productivity boost on a custom crm | Consultus Digital,eCycle Case Study: 40% Productivity Boost with CRM | Consultus Digital,,A custom CRM lifted eCycle productivity 40% .,,eCycle: a custom CRM lifted productivity 40%.,"Custom Zoho CRM build replaced spreadsheet-driven operations for eCycle and lifted productivity by 40%, cutting manual handoffs.",Kept new-design title (no regression)
/case-studies/gordons-downsizing/,Case study,P2,new_better,too_long,,"Gordon's Downsizing case study: Real Estate Plus, under one roof | Consultus Digital",Gordon's Downsizing Case Study: Real Estate Plus | Consultus Digital,,Real Estate Plus. Under one roof.,,"Gordon's Downsizing: Real Estate Plus, under one roof.","How Consultus Digital repositioned Gordon's Downsizing and delivered 53 paid leads in month one at a $164 CPL, under benchmark.",Kept new-design title (no regression)
/case-studies/harmony-resorts/,Case study,P2,new_better,too_long,Harmony Resorts Success Story | Consultus Digital,Harmony Resorts case study: 74% greater than industry-average conversion | Consultus Digital,Harmony Resorts Case Study: 74% Above Conversion Avg | Consultus Digital,Harmony Resorts Smashed The Industry Conversion Rate Average by 74%,Harmony Resorts converts 74% above industry baseline.,,Harmony Resorts converts 74% above industry baseline.,Booking-flow CRO and creative-led paid media built a conversion engine running 74% above the hospitality category average.,Kept new-design title (no regression)
/case-studies/la-vie/,Case study,P2,new_better,too_long,,La Vie Executive Health case study: 512 leads in month one | Consultus Digital,La Vie Executive Health Case Study: 512 Leads | Consultus Digital,,La Vie Executive Health × Consultus Digital .,,La Vie Executive Health: 512 leads in month one.,"How Consultus Digital launched La Vie Executive Health into Oakville: 512 leads in month one across Meta, Google, and SEO.",Kept new-design title (no regression)
/case-studies/office-shop/,Case study,P2,new_better,too_long,,The Office Shop case study: 13 cities ranking on page one of google | Consultus Digital,The Office Shop Case Study: Page One in 13 Cities | Consultus Digital,,The Office Shop on page one in 13 cities .,,The Office Shop: page one of Google in 13 cities.,"Multi-location SEO program landed The Office Shop on page one of Google in 13 target markets at once, with no cannibalization.",Kept new-design title (no regression)
/case-studies/ontario-business-central/,Case study,P2,new_better,too_long,Ontario Business Central Success Story | Consultus Digital,Ontario Business Central case study: 41% increase in revenue | Consultus Digital,Ontario Business Central Case Study: 41% Revenue Lift | Consultus Digital,Ontario Business Central Inc. Reporting An Efficient 16% Increase in ROAS,Ontario Business Central lifted revenue 41% .,,Ontario Business Central lifted revenue 41%.,"Long-tenured engagement rebuilt acquisition, lifecycle, and CRM for Ontario Business Central, lifting revenue by 41% over time.",Kept new-design title (no regression)
/case-studies/spieth-america/,Case study,P2,new_better,too_long,Spieth America Success Story | Consultus Digital,Spieth America case study: 757% lift in return on ad spend | Consultus Digital,Spieth America Case Study: 757% ROAS Lift | Consultus Digital,From Zero to $420K in Online Sales Within 10 Months for Spieth America,Spieth America ROAS recovered and then some.,,Spieth America: a 757% lift in return on ad spend.,"Full-funnel paid rebuild across Meta, Google, and TikTok lifted Spieth America's return on ad spend by 757% in-window.",Kept new-design title (no regression)
/case-studies/tonic-eye-care/,Case study,P2,new_better,too_long,,Tonic Eye Care & Vision Therapy case study: 94% lift in engagement with ugc ads | Consultus Digital,Tonic Eye Care Case Study: 94% Lift with UGC Ads | Consultus Digital,,Tonic Eye Care made vision therapy discoverable .,,Tonic Eye Care: 94% more engagement with UGC ads.,UGC-led paid program lifted engagement on Tonic Eye Care's vision-therapy offering by 94% and built a patient-acquisition flywheel.,Kept new-design title (no regression)
/case-studies/western-asphalt/,Case study,P2,new_better,too_long,Western Asphalt Success Story | Consultus Digital,Western Asphalt case study: 80yr brand revitalized for the digital era | Consultus Digital,Western Asphalt Case Study: 80-Year Brand Reborn | Consultus Digital,Revitalizing an 80-Year-Old Brand – Western Asphalt’s Digital Transformation,Western Asphalt: an 80-year-old brand revitalized .,,Western Asphalt: an 80-year-old brand revitalized.,Full digital transformation for Western Asphalt: a new site and lead surface that modernized an 80-year-old heritage brand.,Kept new-design title (no regression)
/case-studies/zayouna-law-firm/,Case study,P2,minor_regression,lost_service_keyword,Zayouna Law Firm Success Story | Consultus Digital,"Zayouna Law case study: signed files, not leads | Consultus Digital","Zayouna Law Case Study: Signed Files, Not Leads | Consultus Digital",Zayouna Law Firm outperformed its baseline Conversion Rate by 330% Within 3 months,The KPI isn't leads. It's signed files .,,"Zayouna Law: the KPI isn't leads, it's signed files.","How Consultus Digital rebuilt Zayouna Law's intake engine: persona creative, a dynamic LP, and a $72.70 Meta CPL in month one.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/locations/nyc/google-ads-agency-in-new-york-city/,Location,P2,minor_regression,lost_geo_keyword,The Best Google Ads Agency In New York City | Consultus Digital,The Best Google Ads Agency in New York | Consultus Digital,Google Ads Agency in New York City | Consultus Digital,The Best Google Ads Agency in New York City,The Best Google Ads Agency in New York .,,The Best Google Ads Agency in New York City,The best Google Ads agency in New York City. Google Ads management tied to a real revenue scoreboard.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/content-marketing-for-ecommerce-businesses-toronto/,Page,P2,seo_regression,lost_geo_keyword,Boost Ecommerce Growth With Content Marketing | Consultus Digital,Content Marketing for Ecommerce Brands | Consultus Digital,Ecommerce Content Marketing Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / CONTENT MARKETING,Content Marketing for Ecommerce Brands.,,Content marketing for ecommerce brands.,Content marketing for ecommerce brands in Toronto. A dedicated ecommerce practice that builds organic demand and ranks product content.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/healthcare/,Page,P2,new_better,brand_only,,Healthcare Division | Consultus Digital,Healthcare Marketing Agency | Consultus Digital,,Growth systems for healthcare operators.,,Growth systems for healthcare operators.,"The Consultus Digital Healthcare Division builds patient growth systems for clinics and health brands: paid media, SEO, and intake CRM.",Kept new-design title (no regression)
/industries/healthcare/,Page,P2,missing_or_broken,duplicate_title;brand_only,,Healthcare Division | Consultus Digital,Healthcare Marketing Agency | Consultus Digital,,,,Growth systems for healthcare operators.,Duplicate of /healthcare/. This URL is noindexed and empty. Redirect 301 to /healthcare/ to consolidate equity and avoid duplicate titles.,Stub/noindex — no change
/insurance-brokerages-success-with-content-marketing-toronto/,Page,P2,seo_regression,lost_geo_keyword;too_long,Enhance Brokerage Success with Content Marketing | Consultus Digital,Boost Your Brokerage's Success: Content Marketing for Insurance brokers | Consultus Digital,Insurance Broker Content Marketing Toronto | Consultus Digital,| MARKETING / SPECIALITY DIVISION / INSURANCE / BOOST YOUR INSURANCE,Boost Your Insurance Brokerage's Success with Content Marketing .,,Content marketing for insurance brokers.,Content marketing for insurance brokers in Toronto. A dedicated insurance practice that builds authority and drives quote-ready traffic.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/medical/,Page,P2,new_better,,,Medical & Healthcare Marketing That Books Patients | Consultus Digital,Medical & Healthcare Marketing Toronto | Consultus Digital,,We fill waiting rooms .,,We fill waiting rooms.,"Patient growth engines for clinics and health brands: paid media, landing pages, websites, SEO/AEO, and intake CRM. Live work that books patients.",Kept new-design title (no regression)
/pioneering-content-marketing-for-law-firms-toronto/,Page,P2,seo_regression,lost_geo_keyword;vague,Expert Law Firm Content Marketing for Your Firm | Consultus Digital,Boost Your Brokerage's Success: Content Marketing for Law firms | Consultus Digital,Law Firm Content Marketing Toronto | Consultus Digital,| MARKETING / SPECIALTY DIVISION / LAW FIRM / CONTENT MARKETING,Pioneering Content Marketing for Law Firms .,,Content marketing for law firms.,Content marketing for law firms in Toronto. A dedicated law firm practice that builds authority and attracts qualified case inquiries.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/seo/,Page,P2,new_better,,,SEO | Consultus Digital,SEO Agency & Services | Consultus Digital,,"SEO that compounds, not stacks .",,"SEO that compounds, not stacks.","Technical SEO, on-page hygiene, content authority, and link earning, measured in Search Console and tied to organic revenue, not rank-tracker vanity.",Kept new-design title (no regression)
/services/google-ads/,Page,P2,missing_or_broken,duplicate_title,,Google Ads | Consultus Digital,Google Ads Management Agency | Consultus Digital,,,,"Google Ads, engineered for pipeline.","Search, Shopping, Performance Max, and YouTube programs measured against booked outcomes. This page should 301-redirect to /google-ads/.",Stub/noindex — no change
/strategic-content-marketing-for-self-storage-businesses-toronto/,Page,P2,seo_regression,lost_geo_keyword;vague,Best Content Marketing to Amplify Self-Storage Company | Consultus,Boost Your Brokerage's Success: Content Marketing for Self-storage operators | Consultus Digital,Self-Storage Content Marketing Toronto | Consultus Digital,| SELF-STORAGE MARKETING / SPECIALTY DIVISION / SELF-STORAGE / CONTENT MARKETING,Strategic Content Marketing for Self-Storage Businesses.,,Strategic content marketing for self-storage businesses.,Content marketing for self-storage operators in Toronto. A dedicated self-storage practice that builds local authority and demand.,APPLIED — recommended title+meta written to page (Jun 16 2026)
/case-studies/dragonscale-supplies/,Case study,P3,new_better,too_long,,Dragonscale Supplies case study: MER 13.23 in a niche | Consultus Digital,Dragonscale Supplies Case Study: MER 13.23 | Consultus Digital,,"A niche brand, played at MER 13 .",,"Dragonscale Supplies: a niche brand, played at MER 13.","How Consultus Digital scaled Dragonscale Supplies' graded-card protection brand to MER 13.23 with honest, MER-first measurement.",Kept new-design title (no regression)
