url,topic,type,dated,disposition,DECISION (Jake)
/blog/marketing-automation-for-insurance-how-to-streamline-your-processes-and-improve-efficiency/,CRM/Automation,guide,,keep,Confirmed — migrate as-is at same URL
/blog/marketing-automation-is-your-digital-marketing-secure-efficient/,CRM/Automation,guide,,keep,Confirmed — migrate as-is at same URL
/blog/10-cro-tips-improve-ecommerce-conversion-rates/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/10-features-of-a-killer-sales-funnel/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/12-best-conversion-rate-optimization-tools/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/5-a-b-testing-techniques-for-boosting-your-websites-conversion-rate/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/9-best-practices-for-conversion-rate-optimization/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/anatomy-of-high-converting-landing-page-infographic/,CRO,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/copywriting-in-conversion-rate-optimization-cro/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/copywriting-tips-increase-conversions/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/cro-strategy/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/cro-vs-seo-working-together/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-successfully-run-cro-audit/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-use-heatmaps-to-improve-your-websites-conversion-rate/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/increase-your-website-revenue-with-cro-infographic/,CRO,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/maximizing-conversions-cro-tools-techniques-infographic/,CRO,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/the-basics-conversion-rate-optimization/,CRO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-power-of-a-b-testing-how-small-changes-lead-to-big-conversions-infographic/,CRO,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/tips-to-create-high-converting-landing-page/,CRO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/voice-search-optimization-for-cro-infographic/,CRO,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/why-your-website-conversion-rates-suck/,CRO,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/client-spotlight-increase-in-conversion-rate-for-zayouna-law-firm/,Client Spotlight,spotlight,,keep,Confirmed — migrate as-is at same URL
/blog/client-spotlight-on-comwave-ranking-first-on-google-search/,Client Spotlight,spotlight,,keep,Confirmed — migrate as-is at same URL
/blog/client-spotlight-on-ontario-business-central-41-increase-in-revenue/,Client Spotlight,spotlight,,keep,Confirmed — migrate as-is at same URL
/blog/5-effective-content-writing-tips/,Content Marketing,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/6-ways-engaging-content-can-help-your-business-goals/,Content Marketing,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/benefits-of-youtube-for-business/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/buzz-worthy-branded-digital-marketing/,Content Marketing,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/content-marketing-vs-copywriting/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/content-repurposing-how-to-get-more-blog-content-value/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/effective-content-marketing-for-law-firms-best-practices-for-blogging-email-and-video/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/generate-leads-with-content-marketing/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/guest-blogging-inbound-marketing-strategy/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-can-blogging-help-grow-my-business/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/improve-your-short-form-video-content/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-connection-between-content-marketing-and-sales-enablement/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/understanding-the-customer-journey-and-content-needed-for-each-stage/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/video-ideas-for-your-marketing-content/,Content Marketing,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/video-testimonials-benefits-for-business/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/why-your-business-needs-video-marketing/,Content Marketing,guide,,keep,Confirmed — migrate as-is at same URL
/blog/building-your-email-list-with-lead-magnets/,Email,guide,,keep,Confirmed — migrate as-is at same URL
/blog/compelling-email-subject-lines-boost-engagement/,Email,guide,,keep,Confirmed — migrate as-is at same URL
/blog/email-marketing-ecommerce-how-to-boost-sales/,Email,guide,,keep,Confirmed — migrate as-is at same URL
/blog/email-marketing-more-important-than-ever/,Email,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-create-compelling-email-newsletters-that-will-be-opened-and-read/,Email,guide,,keep,Confirmed — migrate as-is at same URL
/blog/strategies-for-increasing-email-open-rates/,Email,guide,,keep,Confirmed — migrate as-is at same URL
/blog/3-methods-to-spark-curiosity-in-your-ugc-hooks/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/b2b-influencer-marketing-campaign-ideas/,Influencer/UGC,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/b2c-influencer-marketing-campaign-ideas/,Influencer/UGC,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/benefits-of-influencer-marketing/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/best-practices-for-leveraging-ugc-infographic/,Influencer/UGC,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/boosting-sales-with-user-generated-content-ugc-infographic/,Influencer/UGC,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/harnessing-power-of-different-types-ugc-infographic/,Influencer/UGC,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/influence-of-micro-influencers-ugc-strategies-for-niche-marketing-infographic/,Influencer/UGC,infographic,,keep,Confirmed — migrate as-is at same URL
/blog/influence-of-ugc-creators-in-shaping-brand-perception/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/partner-with-influencer-marketing-agency/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/ugc-marketing-social-media/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/user-generated-content-brand-engagement/,Influencer/UGC,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-manage-your-online-reputation/,Other,guide,,keep,Confirmed — migrate as-is at same URL
/blog/reputation-management-mistakes/,Other,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/why-reputation-management-matters-more-than-ever/,Other,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/10-expert-google-ads-management-tips/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/5-benefits-working-with-a-google-partner-agency/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/6-google-ads-best-practices-for-high-converting-ads/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/7-benefits-to-linkedin-advertising/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/8-ways-to-increase-your-google-ads-ctr/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/creative-best-practices-for-youtube-ad-design-and-video-production/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/digital-advertising-rules-for-lawyers-in-canada/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/google-ads-benchmark-a-guide-for-small-businesses/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/google-ads-vs-facebook-ads-what-you-need-to-know/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-create-compelling-visuals-for-your-facebook-ads/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-create-high-converting-tiktok-ads/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-write-successful-google-ads-copy/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/linkedin-message-ads-a-complete-guide/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/meta-ads-benchmarks-a-guide-for-small-businesses/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/product-listing-ads-management-guide/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/pros-cons-facebook-advertising/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/quick-guide-google-ads-campaigns-performance-max/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/quick-guide-google-display-ads-campaigns/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/quick-guide-to-google-ads-campaigns-video-ads/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/quick-guide-to-google-ads/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/quick-guide-to-google-shopping-ads/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/social-media-advertising-platforms/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-dos-and-donts-of-facebook-advertising/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-dos-and-donts-of-tiktok-advertising/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-secrets-of-direct-response-advertising/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-top-5-benefits-of-instagram-advertising/,Paid Media,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/ultimate-guide-programmatic-advertising/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/what-does-great-facebook-ad-creative-look-like/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/why-your-advertising-hook-matters/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/why-your-ppc-campaign-needs-landing-page/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/youtube-advertising-how-to-set-up-a-video-ad/,Paid Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/10-seo-ecommerce-tips-that-actually-work/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/benefits-of-leveraging-video-content-for-seo/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/best-ways-utilize-local-store-marketing/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/complete-restaurant-seo-guide/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/content-marketing-can-improve-your-seo/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/future-proof-seo-strategy/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/google-business-profile-optimization/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-google-is-shifting-to-user-journeys-and-why-it-matters-to-you/,SEO,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-use-seo-to-boost-your-online-reputation/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/increase-website-traffic-by-using-these-4-seo-blogging-tips/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/leverage-social-media-for-seo-marketing/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/mastering-perplexity-ai-top-seo-strategies-for-success/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/off-page-seo-tips/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/seo-and-google-security/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/seo-audit-5-essential-things-to-check/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/seo-link-relevancy/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/signs-you-need-professional-seo-help/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/the-power-of-seo-for-law-firms/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-ultimate-local-seo-tactic-how-to-optimize-your-business-for-ai-voice-search/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/tips-choosing-right-seo-specialist/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/top-10-on-page-seo-tips-beginners/,SEO,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/ultimate-seo-guide/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/using-pr-boost-your-seo/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/what-is-a-subdomain-how-it-fits-seo/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/what-is-answer-engine-optimization-how-to-improve-your-online-visibility/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/what-is-seo-cloaking-and-how-to-avoid-it/,SEO,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-optimize-your-social-media/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-utilize-instagram-shopping/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/role-of-social-media-reputation-management/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/social-media-scams-targeting-businesses/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/ultimate-guide-making-social-media-accessible/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/why-you-need-a-social-media-strategy/,Social Media,guide,,keep,Confirmed — migrate as-is at same URL
/blog/5-steps-to-create-a-powerful-digital-marketing-strategy/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/7-proven-growth-marketing-strategies-that-drive-roi/,Strategy/Agency,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/abm-what-is-it-and-how-can-it-benefit-your-target-audience/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/agency-vs-consultancy-what-to-know/,Strategy/Agency,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/artificial-intelligence-digital-transformation/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/benefits-of-digital-transformation-for-smbs/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/best-tech-stack-digital-marketing-agency/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/choose-internet-marketing-company/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/consultus-academy-learning/,Strategy/Agency,news,,keep,Confirmed — migrate as-is at same URL
/blog/consultus-digital-rebrand/,Strategy/Agency,news,,keep,Confirmed — migrate as-is at same URL
/blog/digital-transformation-business-success/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/driving-retail-sales-digital-marketing/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/growth-marketing/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-best-utilize-experiential-marketing/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/how-to-build-a-growth-marketing-plan/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/improve-lead-generation/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/improve-sales-process/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/innovative-insurance-marketing-tactics-how-to-stand-out-in-a-crowded-market/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/performance-marketing-vs-digital-marketing/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/push-and-pull-marketing/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/sales-enablement/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/signs-its-time-to-hire-a-digital-marketing-agency/,Strategy/Agency,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/small-business-marketing-budgets-how-much-to-spend-and-best-practices/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/the-impact-of-effective-sales-enablement-on-customer-experience/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/when-to-hire-a-sales-consultant/,Strategy/Agency,guide,,keep,Confirmed — migrate as-is at same URL
/blog/why-canadian-smbs-must-undergo-a-digital-marketing-and-sales-transformation/,Strategy/Agency,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/why-consultus-is-better/,Strategy/Agency,opinion,,keep,Confirmed — migrate as-is at same URL
/blog/6-tips-updating-website/,Web/Design,listicle,,keep,Confirmed — migrate as-is at same URL
/blog/build-business-visual-brand-strategy/,Web/Design,guide,,keep,Confirmed — migrate as-is at same URL
/blog/cdap-canada-digital-adoption-program-eligibility/,CDAP/Grants,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/how-to-apply-for-the-cdap-grant/,CDAP/Grants,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/how-to-boost-your-business-with-15k-cdap/,CDAP/Grants,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/reasons-your-business-should-apply-for-cdap/,CDAP/Grants,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/what-to-know-cdap-interest-free-loan/,CDAP/Grants,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-examples-of-landing-pages-for-saas-companies-2023/,CRO,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-10-blog-writing-tips-2019/,Content Marketing,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-6-free-google-docs-add-ons-content-writers/,Content Marketing,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/hiding-likes-influencer-marketing/,Influencer/UGC,opinion,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/how-to-migrate-to-google-analytics-4/,Other,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/5-ways-create-content-google-adwords/,Paid Media,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/how-to-edit-ads-on-facebook/,Paid Media,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-10-latest-google-ad-enhancements-2/,Paid Media,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/small-business-seo-budget-guide-2025/,SEO,guide,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/the-eight-best-seo-tools-to-boost-your-rankings-in-2025/,SEO,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/best-social-media-management-tools-for-2024/,Social Media,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/how-many-hashtags-should-i-use-on-social-media/,Social Media,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/real-time-marketing-social-media-2019/,Social Media,opinion,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/10-digital-marketing-trends-for-2023/,Strategy/Agency,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/9-business-growth-strategies-in-2023/,Strategy/Agency,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/digital-marketing-gift-guide/,Strategy/Agency,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/digital-marketing-trends/,Strategy/Agency,guide,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/my-take-on-how-ai-will-transform-digital-marketing-in-2023/,Strategy/Agency,opinion,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/online-competitor-analysis-preparing-for-2024/,Strategy/Agency,guide,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-5-free-digital-marketing-courses/,Strategy/Agency,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/top-digital-marketing-trends-2024/,Strategy/Agency,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/10-absolute-best-free-chrome-extensions-web-designers/,Web/Design,listicle,,refresh,"Confirmed — migrate URL now, refresh content later"
/blog/ux-and-web-design-trends-for-2023/,Web/Design,listicle,yes,refresh,"Confirmed — migrate URL now, refresh content later"
